manufacturer,model,bitcoinCource,price,
NVIDIA,gtx1060,1131,16960
NVIDIA,gtx1060,1031,16880
NVIDIA,gtx1060,1186,16960
NVIDIA,gtx1060,1083,16820
NVIDIA,gtx1060,1134,16190
NVIDIA,gtx1060,1186,16420
NVIDIA,gtx1060,1300,16130
NVIDIA,gtx1060,1600,17190
NVIDIA,gtx1060,1803,28950
NVIDIA,gtx1060,2883,22540
NVIDIA,gtx1060,4141,21300
NVIDIA,gtx1060,4229,19420
NVIDIA,gtx1060,5678,17630
NVIDIA,gtx1060,5809,17730
NVIDIA,gtx1060,7741,19030
NVIDIA,gtx1060,17881,22310
NVIDIA,gtx1060,7947,30750
NVIDIA,gtx1060,11409,26490
NVIDIA,gtx1060,8902,21910
NVIDIA,gtx1060,8215,22200
NVIDIA,gtx1060,6007,21250
NVIDIA,gtx1060,8006,21850
NVIDIA,gtx1060,6346,23030
